Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 2012 base,normalized_sale_price,Person,Property,Society
97201,1986,.,100.0,0.251426847,86369.11715,,,
97201,1987,5.95,105.95,0.266386745,91508.07962,,,
97201,1988,5.41,111.68,0.280793503,96457.03003,,,
97201,1989,9.27,122.03,0.306816182,105396.2337,,,
97201,1990,14.09,139.23,0.3500616,120251.7218,,,
97201,1991,14.13,158.91,0.399542403,137249.1641,,,
97201,1992,3.35,164.23,0.412918311,141844.0011,,,
97201,1993,9.81,180.35,0.453448319,155766.7028,,,
97201,1994,8.19,195.13,0.490609207,168532.0583,,,
97201,1995,12.18,218.9,0.550373369,189061.9974,,,
97201,1996,9.15,238.93,0.600734166,206361.7316,,,
97201,1997,5.03,250.96,0.630980816,216751.9364,,,
97201,1998,4.07,261.17,0.656651497,225570.2233,,,
97201,1999,2.52,267.76,0.673220526,231261.9481,,,
97201,2000,6.62,285.5,0.717823649,246583.8295,,,
97201,2001,5.16,300.24,0.754883967,259314.6373,,,
97201,2002,6.87,320.87,0.806753325,277132.5862,,,
97201,2003,2.01,327.31,0.822945214,282694.7573,,,
97201,2004,9.06,356.98,0.89754356,308320.4744,,,
97201,2005,6.82,381.31,0.958715712,329334.0806,,,
97201,2006,19.38,455.23,1.144570437,393178.132,,,
97201,2007,4.02,473.52,1.190556408,408975.0435,,,
97201,2008,2.05,483.21,1.214919669,417344.211,,,
97201,2009,-9.27,438.42,1.102305584,378659.4834,,,
97201,2010,-5.15,415.83,1.045508259,359148.6998,,,
97201,2011,-4.59,396.73,0.997485732,342652.1985,,,
97201,2012,0.25,397.73,1.0,343516.0,,,
97201,2013,7.9,429.16,1.079023458,403954.0,,,
97201,2014,10.62,474.74,1.193623815,375321.0,,,
97201,2015,5.95,502.97,1.264601614,438575.0,32.0,388.0,8.0
97201,2016,8.12,543.8,1.367259196,465006.0,47.0,586.0,8.0
97201,2017,2.56,557.74,1.402308098,515513.0,67.0,489.0,9.0
97201,2018,0.3,559.4,1.406481784,547860.0,53.0,546.0,6.0
97201,2019,2.72,574.6,1.444698665,475439.0,76.0,508.0,8.0
97201,2020,0.24,576.01,1.448243783,538162.0,48.0,561.0,7.0
97201,2021,6.13,611.3,1.536972318,599245.0,60.0,684.0,11.0
97201,2022,12.99,690.68,1.736554949,533087.0,72.0,796.0,7.0
97203,1979,.,100.0,0.217518979,41171.23466,,,
97203,1980,19.59,119.59,0.260130946,49236.67953,,,
97203,1981,6.64,127.54,0.277423705,52509.79269,,,
97203,1982,.,-1.0,-0.00217519,-411.7123466,,,
97203,1983,.,113.68,0.247275575,46803.45957,,,
97203,1984,10.4,125.5,0.272986318,51669.8995,,,
97203,1985,-11.54,111.01,0.241467818,45704.1876,,,
97203,1986,-8.45,101.63,0.221064538,41842.32579,,,
97203,1987,1.4,103.06,0.224175059,42431.07444,,,
97203,1988,-5.57,97.32,0.21168947,40067.84558,,,
97203,1989,3.06,100.3,0.218171535,41294.74837,,,
97203,1990,17.71,118.07,0.256824658,48610.87677,,,
97203,1991,8.55,128.16,0.278772323,52765.05435,,,
97203,1992,11.5,142.89,0.310812868,58829.57721,,,
97203,1993,8.06,154.4,0.335849303,63568.38632,,,
97203,1994,11.9,172.78,0.375829291,71135.65925,,,
97203,1995,19.18,205.91,0.447893329,84775.6893,,,
97203,1996,9.03,224.51,0.488351859,92433.53894,,,
97203,1997,13.05,253.8,0.552063168,104492.5936,,,
97203,1998,5.57,267.93,0.582798599,110310.089,,,
97203,1999,4.39,279.71,0.608422335,115160.0605,,,
97203,2000,4.31,291.77,0.634655124,120125.3114,,,
97203,2001,7.21,312.82,0.680442869,128791.8563,,,
97203,2002,4.93,328.24,0.713984295,135140.4607,,,
97203,2003,5.24,345.45,0.751419311,142226.0301,,,
97203,2004,8.89,376.16,0.81821939,154869.7163,,,
97203,2005,17.78,443.05,0.963717834,182409.1552,,,
97203,2006,17.53,520.73,1.132686577,214390.9703,,,
97203,2007,8.69,565.99,1.231135667,233025.0711,,,
97203,2008,-0.66,562.24,1.222978705,231481.1498,,,
97203,2009,-7.57,519.67,1.130380876,213954.5552,,,
97203,2010,-5.64,490.35,1.066604311,201883.1492,,,
97203,2011,-6.83,456.87,0.993778957,188099.0198,,,
97203,2012,0.63,459.73,1.0,189277.0,,,
97203,2013,10.52,508.09,1.105192178,230447.0,,,
97203,2014,12.53,571.75,1.24366476,246760.0,,,
97203,2015,11.7,638.64,1.389163204,275326.0,267.0,1230.0,63.0
97203,2016,16.91,746.62,1.624040198,327056.0,357.0,2141.0,90.0
97203,2017,8.99,813.77,1.770104192,359520.0,359.0,1598.0,54.0
97203,2018,3.03,838.39,1.823657364,371433.0,459.0,1936.0,50.0
97203,2019,2.46,859.05,1.868596785,378610.0,366.0,1841.0,49.0
97203,2020,2.98,884.64,1.924259892,402680.0,380.0,1569.0,34.0
97203,2021,12.42,994.51,2.163247993,472393.0,409.0,1802.0,26.0
97203,2022,8.65,1080.57,2.350444826,485915.0,384.0,2039.0,33.0
97205,1986,.,100.0,0.274974565,84820.35924,,,
97205,1987,11.49,111.49,0.306569142,94566.21852,,,
97205,1988,1.89,113.6,0.312371106,96355.9281,,,
97205,1989,15.81,131.55,0.36172904,111581.1826,,,
97205,1990,19.51,157.22,0.432315011,133354.5688,,,
97205,1991,6.65,167.69,0.461104848,142235.2604,,,
97205,1992,2.47,171.82,0.472461297,145738.3413,,,
97205,1993,5.02,180.45,0.496191602,153058.3383,,,
97205,1994,0,180.46,0.4962191,153066.8203,,,
97205,1995,6.44,192.09,0.528198642,162931.4281,,,
97205,1996,17.04,224.81,0.618170319,190684.6496,,,
97205,1997,4.2,234.24,0.644100421,198683.2095,,,
