Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI from 2012,HPI with 2012 base,normalized_sale_price,zip_code,normalized_sale_price_2012
97201,1986,.,100.0,397.73,0.251426847,86369.11715,97201,343515.8896
97201,1987,5.95,105.95,397.73,0.266386745,91508.07962,97201,343515.8896
97201,1988,5.41,111.68,397.73,0.280793503,96457.03003,97201,343515.8896
97201,1989,9.27,122.03,397.73,0.306816182,105396.2337,97201,343515.8896
97201,1990,14.09,139.23,397.73,0.3500616,120251.7218,97201,343515.8896
97201,1991,14.13,158.91,397.73,0.399542403,137249.1641,97201,343515.8896
97201,1992,3.35,164.23,397.73,0.412918311,141844.0011,97201,343515.8896
97201,1993,9.81,180.35,397.73,0.453448319,155766.7028,97201,343515.8896
97201,1994,8.19,195.13,397.73,0.490609207,168532.0583,97201,343515.8896
97201,1995,12.18,218.9,397.73,0.550373369,189061.9974,97201,343515.8896
97201,1996,9.15,238.93,397.73,0.600734166,206361.7316,97201,343515.8896
97201,1997,5.03,250.96,397.73,0.630980816,216751.9364,97201,343515.8896
97201,1998,4.07,261.17,397.73,0.656651497,225570.2233,97201,343515.8896
97201,1999,2.52,267.76,397.73,0.673220526,231261.9481,97201,343515.8896
97201,2000,6.62,285.5,397.73,0.717823649,246583.8295,97201,343515.8896
97201,2001,5.16,300.24,397.73,0.754883967,259314.6373,97201,343515.8896
97201,2002,6.87,320.87,397.73,0.806753325,277132.5862,97201,343515.8896
97201,2003,2.01,327.31,397.73,0.822945214,282694.7573,97201,343515.8896
97201,2004,9.06,356.98,397.73,0.89754356,308320.4744,97201,343515.8896
97201,2005,6.82,381.31,397.73,0.958715712,329334.0806,97201,343515.8896
97201,2006,19.38,455.23,397.73,1.144570437,393178.132,97201,343515.8896
97201,2007,4.02,473.52,397.73,1.190556408,408975.0435,97201,343515.8896
97201,2008,2.05,483.21,397.73,1.214919669,417344.211,97201,343515.8896
97201,2009,-9.27,438.42,397.73,1.102305584,378659.4834,97201,343515.8896
97201,2010,-5.15,415.83,397.73,1.045508259,359148.6998,97201,343515.8896
97201,2011,-4.59,396.73,397.73,0.997485732,342652.1985,97201,343515.8896
97201,2012,0.25,397.73,397.73,1.0,343516.0,97201,343515.8896
97201,2013,7.9,429.16,397.73,1.079023458,403954.0,97201,343515.8896
97201,2014,10.62,474.74,397.73,1.193623815,375321.0,97201,343515.8896
97201,2015,5.95,502.97,397.73,1.264601614,438575.0,97201,343515.8896
97201,2016,8.12,543.8,397.73,1.367259196,465006.0,97201,343515.8896
97201,2017,2.56,557.74,397.73,1.402308098,515513.0,97201,343515.8896
97201,2018,0.3,559.4,397.73,1.406481784,547860.0,97201,343515.8896
97201,2019,2.72,574.6,397.73,1.444698665,475439.0,97201,343515.8896
97201,2020,0.24,576.01,397.73,1.448243783,538162.0,97201,343515.8896
97201,2021,6.13,611.3,397.73,1.536972318,599245.0,97201,343515.8896
97201,2022,12.99,690.68,397.73,1.736554949,533087.0,97201,343515.8896
97203,1979,.,100.0,459.73,0.217518979,41171.23466,97203,189276.5171
97203,1980,19.59,119.59,459.73,0.260130946,49236.67953,97203,189276.5171
97203,1981,6.64,127.54,459.73,0.277423705,52509.79269,97203,189276.5171
97203,1982,.,-1.0,459.73,-0.00217519,-411.7123466,97203,189276.5171
97203,1983,.,113.68,459.73,0.247275575,46803.45957,97203,189276.5171
97203,1984,10.4,125.5,459.73,0.272986318,51669.8995,97203,189276.5171
97203,1985,-11.54,111.01,459.73,0.241467818,45704.1876,97203,189276.5171
97203,1986,-8.45,101.63,459.73,0.221064538,41842.32579,97203,189276.5171
97203,1987,1.4,103.06,459.73,0.224175059,42431.07444,97203,189276.5171
97203,1988,-5.57,97.32,459.73,0.21168947,40067.84558,97203,189276.5171
97203,1989,3.06,100.3,459.73,0.218171535,41294.74837,97203,189276.5171
97203,1990,17.71,118.07,459.73,0.256824658,48610.87677,97203,189276.5171
97203,1991,8.55,128.16,459.73,0.278772323,52765.05435,97203,189276.5171
