city,state,zip,year built,cooling type,garage type,sqft,price per sqft,buyers fee,listing price,housing category,HOA yearly
Portland,OR,97233,1983,Central air,2 Attached garage spaces,7840.0,340,2.5 ,402500,single family,0.0
Portland,OR,97225,1964,Central air,2 Attached garage spaces,,312,2.5 ,695000,single family,0.0
Portland,OR,97215,1913,Window unit(s),1 Garage space,3920.0,358,2.5 ,575000,single family,0.0
Portland,OR,97229,1957,Central air,2 Garage spaces,,312,2.5 ,1000000,single family,0.0
Portland,OR,97218,1928,Heat pump,Open parking,4791.0,280,2.5 ,295000,single family,0.0
Portland,OR,97219,1957,Central air,2 Attached garage spaces,8712.0,405,2.5 ,699000,single family,0.0
Portland,OR,97215,1927,No data,1 Attached garage space,,337,2.25 ,750000,single family,0.0
Portland,OR,97212,1939,Central air,2 Garage spaces,5227.0,315,2.5 ,950000,single family,0.0
Portland,OR,97203,1906,No data,Open parking,5227.0,255,2 ,599900,single family,0.0
Portland,OR,97211,2000,Central air,2 Attached garage spaces,8276.0,287,2.5 ,450000,single family,0.0
Portland,OR,97229,1969,Central air,2 Attached garage spaces,,381,2.5 ,800000,single family,0.0
Portland,OR,97202,1920,,Open parking,5227.0,271,2.5 ,700000,single family,0.0
Portland,OR,97202,1955,Central air,2 Attached garage spaces,,504,2.5 ,1295000,single family,0.0
Portland,OR,97229,1994,Central air,2 Attached garage spaces,7405.0,324,2.5 ,700000,single family,0.0
Portland,OR,97213,1920,No data,1 Garage space,5227.0,342,2.5 ,625000,single family,0.0
Portland,OR,97217,2002,No data,2 Garage spaces,,335,2.5 ,365000,single family,5280.0
Portland,OR,97229,1998,Central air,3 Attached garage spaces,10454.0,311,2.5 ,1050000,single family,744.0
Portland,OR,97219,1951,Central air,2 Attached garage spaces,,591,2.25 ,1498000,single family,0.0
Portland,OR,97206,1913,No data,1 Garage space,3920.0,230,2.5 ,397500,single family,0.0
Portland,OR,97212,1927,Central air,1 Garage space,4356.0,371,2.5 ,1190000,single family,0.0
Portland,OR,97217,1960,Heat pump,Off street,2263.0,146,2.5 ,299000,single family,0.0
Portland,OR,97219,1929,No data,1 Garage space,5227.0,224,2.25 ,475000,single family,0.0
Portland,OR,97202,1923,Central air,Open parking,5227.0,391,2.5 ,785000,single family,0.0
Portland,OR,97203,1904,Central air,Open parking,4791.0,280,2.5 ,799900,single family,0.0
Portland,OR,97266,1979,,2 Attached garage spaces,5227.0,318,2.25 ,399993,single family,0.0
Portland,OR,97213,1976,Central air,2 Attached garage spaces,5227.0,328,2.5 ,399900,single family,0.0
Portland,OR,97217,1991,No data,Off street,1800.0,208,2.5 ,259000,single family,11700.0
Portland,OR,97211,2022,Central air,Open parking,,406,2.5 ,525000,single family,576.0
Portland,OR,97205,2006,Heat pump,1 Attached garage space,,415,2.5 ,650000,condominium,0.0
Portland,OR,97229,1995,Central air,1 Garage space,1742.0,430,2.25 ,555000,single family,5748.0
Portland,OR,97229,1995,Central air,2 Attached garage spaces,2178.0,368,2.5 ,560000,townhouse,6894.0
Portland,OR,97209,2007,Central air,1 Attached garage space,,410,2.5 ,650000,condominium,0.0
Portland,OR,97266,1955,Central air,1 Attached garage space,7840.0,310,2.5 ,434950,single family,0.0
Portland,OR,97201,1909,Wall unit(s),1 Garage space,5227.0,206,2.5 ,500000,single family,0.0
Portland,OR,97203,1985,Heat pump,2 Attached garage spaces,6534.0,394,2.5 ,489000,single family,0.0
Portland,OR,97209,1908,Central air,1 Garage space,2178.0,613,2.5 ,1225000,townhouse,0.0
Portland,OR,97206,1930,No data,1 Garage space,4791.0,311,2.5 ,719000,single family,0.0
Portland,OR,97201,1917,,2 Garage spaces,,432,2.5 ,720000,condominium,0.0
Portland,OR,97203,2007,No data,No data,2613.0,257,2.5 ,369900,single family,1404.0
Portland,OR,97201,1957,Central air,2 Garage spaces,,311,2.5 ,1050000,single family,0.0
Portland,OR,97225,2006,Central air,2 Attached garage spaces,1306.0,335,2.5 ,710000,townhouse,4704.0
Portland,OR,97210,1904,Central air,Open parking,6534.0,336,2.5 ,1989000,single family,0.0
Portland,OR,97236,1949,,Open parking,,325,2.5 ,320000,single family,0.0
Portland,OR,97206,1952,,1 Garage space,7405.0,215,2.5 ,395000,single family,0.0
Portland,OR,97203,2010,Heat pump,1 Garage space,3920.0,282,2.5 ,675000,single family,0.0
Portland,OR,97229,1999,Central air,2 Attached garage spaces,6098.0,461,2.5 ,847000,single family,0.0
Portland,OR,97206,2012,Heat pump,Open parking,,612,2.5 ,205000,condominium,0.0
Portland,OR,97211,1999,No data,2 Attached garage spaces,3920.0,353,2.5 ,450000,single family,0.0
Portland,OR,97217,2021,Energy star qualified equipment,"Deeded, off street",,330,2.5 ,264000,single family,10092.0
Portland,OR,97203,2004,Heat pump,Off street,3920.0,397,2.25 ,375000,single family,0.0
Portland,OR,97217,1993,No data,Secured,,236,2.5 ,199900,single family,18456.0
Portland,OR,97230,1969,,Open parking,2613.0,258,2.25 ,265000,single family,0.0
Portland,OR,97236,2007,No data,Carport,,246,2 ,199900,condominium,0.0
Portland,OR,97217,1927,Heat pump,1 Garage space,3484.0,284,2.25 ,489900,single family,0.0
Portland,OR,97205,2006,Central air,2 Attached garage spaces,,443,2.25 ,949000,condominium,0.0
Portland,OR,97201,1991,Central air,2 Garage spaces,,501,2.25 ,1600000,single family,0.0
Portland,OR,97220,1941,Central air,2 Attached garage spaces,,233,2.5 ,695000,single family,0.0
Portland,OR,97231,1924,No data,2 Garage spaces,,218,2.5 ,575000,single family,0.0
Portland,OR,97229,1973,Central air,2 Garage spaces,,333,2.5 ,1200000,single family,0.0
