Date,Building Type,MoM,QoQ,YoY,Units,Prev Year,Year
Jan-02,Single-family Units,21.30%,12.20%,-0.50%,"1,459",1466,2002
Feb-02,Single-family Units,-1.60%,6.20%,1.70%,"1,435",1411,2002
Mar-02,Single-family Units,-7.70%,10.20%,-9.60%,"1,325",1452,2002
Apr-02,Single-family Units,8.00%,-1.90%,-0.20%,"1,432",1435,2002
May-02,Single-family Units,10.70%,10.40%,10.60%,"1,584",1416,2002
Jun-02,Single-family Units,-15.30%,1.30%,0.80%,"1,343",1332,2002
Jul-02,Single-family Units,11.70%,4.70%,13.40%,"1,500",1299,2002
Aug-02,Single-family Units,-5.80%,-10.90%,9.30%,"1,412",1281,2002
Sep-02,Single-family Units,8.80%,14.40%,31.20%,"1,536",1057,2002
Oct-02,Single-family Units,11.80%,14.50%,32.00%,"1,716",1167,2002
Nov-02,Single-family Units,-22.10%,-5.30%,-1.10%,"1,337",1352,2002
Dec-02,Single-family Units,30.40%,13.60%,45.00%,"1,744",959,2002
Jan-03,Single-family Units,-0.20%,1.40%,19.30%,"1,741",1405,2003
Feb-03,Single-family Units,-3.00%,26.30%,17.70%,"1,689",1390,2003
Mar-03,Single-family Units,-13.60%,-16.30%,10.20%,"1,460",1311,2003
Apr-03,Single-family Units,7.00%,-10.30%,9.10%,"1,561",1419,2003
May-03,Single-family Units,-10.10%,-16.90%,-11.40%,"1,404",1564,2003
Jun-03,Single-family Units,3.70%,-0.30%,8.40%,"1,456",1334,2003
Jul-03,Single-family Units,7.90%,0.60%,4.80%,"1,572",1497,2003
Aug-03,Single-family Units,-3.40%,8.20%,7.60%,"1,519",1404,2003
Sep-03,Single-family Units,5.80%,10.30%,4.60%,"1,606",1532,2003
Oct-03,Single-family Units,9.40%,11.80%,2.40%,"1,758",1716,2003
Nov-03,Single-family Units,-24.80%,-13.00%,-1.20%,"1,321",1337,2003
Dec-03,Single-family Units,24.40%,2.30%,-5.70%,"1,644",1738,2003
Jan-04,Single-family Units,-9.40%,-15.20%,-14.40%,"1,490",1705,2004
Feb-04,Single-family Units,2.10%,15.20%,-9.90%,"1,522",1673,2004
Mar-04,Single-family Units,15.20%,6.70%,20.10%,"1,754",1401,2004
Apr-04,Single-family Units,-4.10%,12.80%,7.70%,"1,681",1552,2004
May-04,Single-family Units,-3.30%,6.80%,15.80%,"1,625",1368,2004
Jun-04,Single-family Units,10.70%,2.60%,23.50%,"1,799",1376,2004
Jul-04,Single-family Units,-3.90%,2.80%,10.00%,"1,728",1555,2004
Aug-04,Single-family Units,11.10%,18.20%,26.50%,"1,921",1412,2004
Sep-04,Single-family Units,1.70%,8.60%,21.60%,"1,954",1532,2004
Oct-04,Single-family Units,-17.10%,-6.30%,-7.90%,"1,619",1747,2004
Nov-04,Single-family Units,14.30%,-3.70%,40.10%,"1,851",1109,2004
Dec-04,Single-family Units,28.10%,21.40%,44.30%,"2,372",1321,2004
Jan-05,Single-family Units,-13.30%,26.90%,37.90%,"2,055",1276,2005
Feb-05,Single-family Units,-4.80%,5.70%,28.50%,"1,956",1399,2005
Mar-05,Single-family Units,2.60%,-15.40%,14.40%,"2,006",1717,2005
Apr-05,Single-family Units,2.00%,-0.50%,21.70%,"2,045",1601,2005
May-05,Single-family Units,-8.00%,-3.80%,15.80%,"1,882",1585,2005
Jun-05,Single-family Units,9.80%,3.10%,14.90%,"2,067",1759,2005
Jul-05,Single-family Units,-7.80%,-6.80%,10.30%,"1,907",1711,2005
Aug-05,Single-family Units,13.60%,15.10%,12.80%,"2,167",1890,2005
Sep-05,Single-family Units,-2.10%,2.60%,8.60%,"2,122",1940,2005
Oct-05,Single-family Units,-6.20%,4.30%,22.80%,"1,989",1536,2005
Nov-05,Single-family Units,3.80%,-4.70%,11.60%,"2,065",1825,2005
Dec-05,Single-family Units,-0.60%,-3.20%,-13.40%,"2,053",2328,2005
Jan-06,Single-family Units,-6.50%,-3.40%,-6.50%,"1,921",2046,2006
Feb-06,Single-family Units,-1.00%,-7.90%,-2.80%,"1,901",1954,2006
Mar-06,Single-family Units,-1.80%,-9.10%,-6.90%,"1,867",1996,2006
