,Date,Building Type,MoM,QoQ,Value,YoY
130,Nov-01,Total Units,2.40%,-4.10%,"1,847K",-18.00%
131,Dec-01,Total Units,-27.90%,-30.80%,"1,332K",-19.90%
132,Jan-02,Total Units,43.80%,6.10%,"1,914K",-2.70%
133,Feb-02,Total Units,-1.10%,2.50%,"1,894K",0.90%
134,Mar-02,Total Units,-11.90%,25.30%,"1,668K",-5.30%
135,Apr-02,Total Units,20.30%,4.80%,"2,006K",22.00%
136,May-02,Total Units,2.20%,8.20%,"2,050K",23.90%
137,Jun-02,Total Units,-18.00%,0.70%,"1,680K",5.50%
138,Jul-02,Total Units,19.90%,0.40%,"2,014K",33.70%
139,Aug-02,Total Units,-19.20%,-20.60%,"1,628K",-15.50%
140,Sep-02,Total Units,21.40%,17.70%,"1,977K",2.80%
141,Oct-02,Total Units,-0.80%,-2.60%,"1,962K",8.70%
142,Nov-02,Total Units,-2.50%,17.60%,"1,913K",3.60%
143,Dec-02,Total Units,-1.90%,-5.00%,"1,878K",41.00%
144,Jan-03,Total Units,67.50%,60.40%,"3,146K",64.30%
145,Feb-03,Total Units,-37.60%,2.60%,"1,964K",3.70%
146,Mar-03,Total Units,-7.60%,-3.40%,"1,814K",8.70%
147,Apr-03,Total Units,18.40%,-31.80%,"2,147K",7.00%
148,May-03,Total Units,3.50%,13.10%,"2,221K",8.40%
149,Jun-03,Total Units,-14.40%,4.90%,"1,902K",13.20%
150,Jul-03,Total Units,6.90%,-5.30%,"2,034K",1.00%
151,Aug-03,Total Units,-9.00%,-16.70%,"1,850K",13.70%
152,Sep-03,Total Units,25.80%,22.30%,"2,327K",17.70%
153,Oct-03,Total Units,2.20%,16.90%,"2,378K",21.20%
154,Nov-03,Total Units,-30.50%,-10.60%,"1,654K",-13.60%
155,Dec-03,Total Units,27.50%,-9.40%,"2,109K",12.30%
156,Jan-04,Total Units,-9.60%,-19.90%,"1,906K",-39.40%
157,Feb-04,Total Units,-3.90%,10.80%,"1,832K",-6.70%
158,Mar-04,Total Units,16.40%,1.10%,"2,133K",17.60%
159,Apr-04,Total Units,4.10%,16.50%,"2,220K",3.40%
160,May-04,Total Units,0.70%,22.00%,"2,236K",0.70%
161,Jun-04,Total Units,8.40%,13.70%,"2,424K",27.40%
162,Jul-04,Total Units,16.30%,27.00%,"2,820K",38.60%
163,Aug-04,Total Units,-4.70%,20.20%,"2,687K",45.20%
164,Sep-04,Total Units,-20.30%,-11.70%,"2,141K",-8.00%
165,Oct-04,Total Units,12.80%,-14.40%,"2,414K",1.50%
166,Nov-04,Total Units,-9.40%,-18.60%,"2,188K",32.30%
167,Dec-04,Total Units,19.00%,21.60%,"2,604K",23.40%
168,Jan-05,Total Units,-1.70%,6.00%,"2,558K",34.20%
169,Feb-05,Total Units,-0.40%,16.50%,"2,549K",39.10%
170,Mar-05,Total Units,17.00%,14.50%,"2,982K",39.80%
171,Apr-05,Total Units,-12.30%,2.20%,"2,614K",17.70%
172,May-05,Total Units,-14.30%,-12.10%,"2,241K",0.20%
173,Jun-05,Total Units,13.40%,-14.80%,"2,541K",4.80%
174,Jul-05,Total Units,-4.40%,-7.10%,"2,428K",-13.90%
175,Aug-05,Total Units,9.60%,18.70%,"2,661K",-1.00%
176,Sep-05,Total Units,1.80%,6.60%,"2,708K",26.50%
177,Oct-05,Total Units,0.00%,11.60%,"2,709K",12.20%
178,Nov-05,Total Units,5.00%,6.90%,"2,845K",30.00%
179,Dec-05,Total Units,-12.70%,-8.30%,"2,484K",-4.60%
180,Jan-06,Total Units,0.90%,-7.50%,"2,507K",-2.00%
181,Feb-06,Total Units,1.60%,-10.40%,"2,548K",0.00%
182,Mar-06,Total Units,-6.00%,-3.60%,"2,395K",-19.70%
183,Apr-06,Total Units,4.60%,-0.10%,"2,504K",-4.20%
184,May-06,Total Units,6.40%,4.60%,"2,665K",18.90%
185,Jun-06,Total Units,-2.40%,8.60%,"2,600K",2.30%
186,Jul-06,Total Units,-29.00%,-26.30%,"1,846K",-24.00%
187,Aug-06,Total Units,7.30%,-25.70%,"1,981K",-25.50%
188,Sep-06,Total Units,1.90%,-22.40%,"2,018K",-25.50%
189,Oct-06,Total Units,-1.10%,8.10%,"1,996K",-26.30%
190,Nov-06,Total Units,22.90%,23.80%,"2,452K",-13.80%
191,Dec-06,Total Units,-46.40%,-34.80%,"1,315K",-47.10%
192,Jan-07,Total Units,90.20%,25.40%,"2,502K",-0.20%
193,Feb-07,Total Units,16.90%,19.30%,"2,925K",14.80%
194,Mar-07,Total Units,-28.10%,59.90%,"2,104K",-12.20%
195,Apr-07,Total Units,-16.10%,-29.50%,"1,764K",-29.50%
196,May-07,Total Units,13.70%,-31.40%,"2,006K",-24.70%
197,Jun-07,Total Units,-20.30%,-24.00%,"1,598K",-38.50%
198,Jul-07,Total Units,7.60%,-2.60%,"1,719K",-6.90%
199,Aug-07,Total Units,0.70%,-13.70%,"1,732K",-12.60%
200,Sep-07,Total Units,-8.20%,-0.50%,"1,590K",-21.20%
201,Oct-07,Total Units,-14.70%,-21.10%,"1,356K",-32.10%
202,Nov-07,Total Units,-0.60%,-22.20%,"1,347K",-45.00%
203,Dec-07,Total Units,-12.60%,-25.90%,"1,177K",-10.50%
204,Jan-08,Total Units,-31.20%,-40.30%,810K,-67.60%
205,Feb-08,Total Units,121.30%,33.00%,"1,792K",-38.70%
206,Mar-08,Total Units,-35.80%,-2.40%,"1,150K",-45.40%
207,Apr-08,Total Units,-17.70%,16.80%,946K,-46.40%
208,May-08,Total Units,26.00%,-33.50%,"1,192K",-40.60%
209,Jun-08,Total Units,-4.30%,-0.80%,"1,141K",-28.60%
210,Jul-08,Total Units,7.00%,29.00%,"1,220K",-29.00%
211,Aug-08,Total Units,-13.20%,-11.10%,"1,059K",-38.80%
212,Sep-08,Total Units,-14.10%,-20.20%,910K,-42.70%
213,Oct-08,Total Units,-16.30%,-37.50%,762K,-43.80%
214,Nov-08,Total Units,-8.80%,-34.40%,695K,-48.40%
215,Dec-08,Total Units,-28.80%,-45.70%,495K,-58.00%
216,Jan-09,Total Units,144.10%,58.40%,"1,207K",49.10%
