city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Portland,OR,97233,17035-SE-Salmon-St,"Residential, single family residence",Built in 1983,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,840 sqft",$340 price/sqft,2.5% buyers agency fee,402500
Portland,OR,97225,735-SW-Viewmont-Dr,"Residential, single family residence",Built in 1964,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.39 Acres,$312 price/sqft,2.5% buyers agency fee,695000
Portland,OR,97215,2209-SE-47th-Ave,"Residential, single family residence",Built in 1913,"Forced air, fireplace(s)",Window unit(s),1 Garage space,0,"3,920 sqft",$358 price/sqft,2.5% buyers agency fee,575000
Portland,OR,97229,455-NW-97th-Ave,"Residential, single family residence",Built in 1957,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,1 Acres,$312 price/sqft,2.5% buyers agency fee,1000000
Portland,OR,97218,4139-NE-62nd-Ave,"Residential, single family residence",Built in 1928,Mini split,Heat pump,Open parking,0,"4,791 sqft",$280 price/sqft,2.5% buyers agency fee,295000
Portland,OR,97219,6309-SW-Luradel-St,"Residential, single family residence",Built in 1957,Forced air,Central air,2 Attached garage spaces,0,"8,712 sqft",$405 price/sqft,2.5% buyers agency fee,699000
Portland,OR,97215,357-SE-47th-Ave,"Residential, single family residence",Built in 1927,"Forced air, fireplace(s)",No data,1 Attached garage space,0,0.25 Acres,$337 price/sqft,2.25% buyers agency fee,750000
Portland,OR,97212,2105-NE-Klickitat-St,"Residential, single family residence",Built in 1939,"Forced air 90, fireplace(s)",Central air,2 Garage spaces,0,"5,227 sqft",$315 price/sqft,2.5% buyers agency fee,950000
Portland,OR,97203,8073-N-Ivanhoe-St,"Residential, single family residence",Built in 1906,"Forced air, forced air 95 plus",No data,Open parking,0,"5,227 sqft",$255 price/sqft,2% buyers agency fee,599900
Portland,OR,97211,9437-NE-Blue-Heron-Ct,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"8,276 sqft",$287 price/sqft,2.5% buyers agency fee,450000
Portland,OR,97229,1240-NW-93rd-Ave,"Residential, single family residence",Built in 1969,"Forced air 90, fireplace(s)",Central air,2 Attached garage spaces,0,0.35 Acres,$381 price/sqft,2.5% buyers agency fee,800000
Portland,OR,97202,6124-SE-17th-Ave,"Residential, single family residence",Built in 1920,"Forced air, fireplace(s)",None,Open parking,0,"5,227 sqft",$271 price/sqft,2.5% buyers agency fee,700000
Portland,OR,97202,612-SE-Manchester-Pl,"Residential, single family residence",Built in 1955,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.37 Acres,$504 price/sqft,2.5% buyers agency fee,1295000
Portland,OR,97229,16890-NW-Waterford-Way,"Residential, single family residence",Built in 1994,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,405 sqft",$324 price/sqft,2.5% buyers agency fee,700000
Portland,OR,97213,3304-NE-58th-Ave,"Residential, single family residence",Built in 1920,"Forced air 95 plus, fireplace(s)",No data,1 Garage space,0,"5,227 sqft",$342 price/sqft,2.5% buyers agency fee,625000
Portland,OR,97217,2630-N-Hayden-Island-Dr,Residential,Built in 2002,"Other, zoned, fireplace(s)",No data,2 Garage spaces,$440 monthly HOA fee,No data,$335 price/sqft,2.5% buyers agency fee,365000
Portland,OR,97229,1843-NW-Rosefinch-Ln,"Residential, single family residence",Built in 1998,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,$372 semi-annually HOA fee,"10,454 sqft",$311 price/sqft,2.5% buyers agency fee,1050000
Portland,OR,97219,11404-S-Breyman-Ct,"Residential, single family residence",Built in 1951,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.44 Acres,$591 price/sqft,2.25% buyers agency fee,1498000
Portland,OR,97206,3709-SE-66th-Ave,"Residential, single family residence",Built in 1913,Wall furnace,No data,1 Garage space,0,"3,920 sqft",$230 price/sqft,2.5% buyers agency fee,397500
Portland,OR,97212,3853-NE-21st-Ave,"Residential, single family residence",Built in 1927,"Forced air 95 plus, fireplace(s)",Central air,1 Garage space,0,"4,356 sqft",$371 price/sqft,2.5% buyers agency fee,1190000
Portland,OR,97217,429-N-Bridgeton-Rd-SLIP-3,Residential,Built in 1960,"Forced air, heat pump, mini split",Heat pump,Off street,0,"2,263 sqft",$146 price/sqft,2.5% buyers agency fee,299000
Portland,OR,97219,1609-SW-Troy-St,"Residential, single family residence",Built in 1929,Forced air,No data,1 Garage space,0,"5,227 sqft",$224 price/sqft,2.25% buyers agency fee,475000
Portland,OR,97202,6413-SE-22nd-Ave,"Residential, single family residence",Built in 1923,"Forced air, forced air 95 plus, fireplace(s)",Central air,Open parking,0,"5,227 sqft",$391 price/sqft,2.5% buyers agency fee,785000
Portland,OR,97203,4907-N-Amherst-St,"Residential, single family residence",Built in 1904,"Forced air, fireplace(s)",Central air,Open parking,0,"4,791 sqft",$280 price/sqft,2.5% buyers agency fee,799900
Portland,OR,97266,8941-SE-Knapp-St,"Residential, single family residence",Built in 1979,"Zoned, fireplace(s)",None,2 Attached garage spaces,0,"5,227 sqft",$318 price/sqft,2.25% buyers agency fee,399993
Portland,OR,97213,240-NE-65th-Ave,"Residential, single family residence",Built in 1976,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"5,227 sqft",$328 price/sqft,2.5% buyers agency fee,399900
Portland,OR,97217,225-N-Bridgeton-Rd,Residential,Built in 1991,Zoned,No data,Off street,$975 monthly HOA fee,"1,800 sqft",$208 price/sqft,2.5% buyers agency fee,259000
Portland,OR,97211,5480-NE-Cesar-E-Chavez-Blvd,Residential,Built in 2022,Mini split,Central air,Open parking,$48 monthly HOA fee,No data,$406 price/sqft,2.5% buyers agency fee,525000
Portland,OR,97205,1221-SW-10th-Ave-UNIT-606,"Residential, condominium",Built in 2006,Heat pump,Heat pump,1 Attached garage space,0,$957 monthly HOA fee,$415 price/sqft,2.5% buyers agency fee,650000
Portland,OR,97229,1930-NW-Yorkshire-Ln,Residential,Built in 1995,Forced air 90,Central air,1 Garage space,$479 monthly HOA fee,"1,742 sqft",$430 price/sqft,2.25% buyers agency fee,555000
Portland,OR,97229,9745-NW-Silver-Ridge-Loop,"Residential, townhouse",Built in 1995,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,"$3,447 semi-annually HOA fee","2,178 sqft",$368 price/sqft,2.5% buyers agency fee,560000
