city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Hillsboro,OR,97123,7702-Lumberton-Ln,Residential,2023,"ENERGY STAR Qualified Equipment, Forced Air 95 Plus",Central Air,1 Attached Garage space,$186 monthly,"3,049 sqft",$428 ,2%,519900
Hillsboro,OR,97123,5828-SE-77th-Ave,"Residential, Single Family Residence",2023,"ENERGY STAR Qualified Equipment, Forced Air 95 Plus",Central Air,2 Attached Garage spaces,$91 monthly,No Data,$320 ,2%,729900
Hillsboro,OR,97123,6531-SE-McInnis-St,"Residential, Single Family Residence",2023,"Forced Air 95 Plus, Fireplace(s)",ENERGY STAR Qualified Equipment,2 Attached Garage spaces,$147 monthly,"5,227 sqft",$379 ,2%,689900
Hillsboro,OR,97123,7826-Reddington-St,"Residential, Townhouse",2023,"ENERGY STAR Qualified Equipment, Forced Air, Forced Air 95 Plus, Fireplace(s)",Central Air,2 Attached Garage spaces,$186 monthly,No Data,$329 ,2%,499900
Hillsboro,OR,97123,6620-SE-Provence-St,"Residential, Single Family Residence",2023,Forced Air 95 Plus,ENERGY STAR Qualified Equipment,2 Garage spaces,$147 monthly,"3,049 sqft",$312 ,2%,599900
Hillsboro,OR,97123,6539-SE-McInnis-St,"Residential, Single Family Residence",2023,"ENERGY STAR Qualified Equipment, Forced Air 95 Plus",ENERGY STAR Qualified Equipment,2 Attached Garage spaces,$147 monthly,"4,791 sqft",$332 ,2%,709900
Vancouver,WA,98665,7123-NE-27th-Ave,"Residential, Single Family Residence",2023,Heat Pump,Heat Pump,3 Attached Garage spaces,$60 monthly,No Data,$283 ,2%,525995
Vancouver,WA,98682,10214-NE-132nd-Ave,"Residential, Single Family Residence",2023,"Heat Pump, Fireplace(s)",Heat Pump,2 Attached Garage spaces,$132 monthly,No Data,$296 ,2%,604900
Seattle,WA,98101,1808-Minor-Ave-3001,Condominium,Built in 2019,Radiant,"Forced air, heat pump",1 Garage space,0,"$1,005 monthly HOA fee","$1,255 price/sqft",3% buyers agency fee,1279900
Prairie,WA,98606,13614-NE-117th-Ave-Brush,"Residential, Single Family Residence",2023,Heat Pump,Heat Pump,2 Attached Garage spaces,$35 monthly,No Data,$309 ,2%,633990
